id,Date,Party
3,4/5/19,L
7,4/5/19,L
9,4/5/19,L
12,4/5/19,L
14,4/5/19,L
15,4/5/19,L
19,4/5/19,L
23,4/5/19,L
27,4/5/19,L
35,4/5/19,L
37,4/5/19,L
39,4/5/19,L
41,4/5/19,L
42,4/5/19,L
48,4/5/19,L
56,4/5/19,L
59,4/5/19,L
63,4/5/19,L
69,4/5/19,L
71,4/5/19,L
72,4/5/19,L
75,4/5/19,L
77,4/5/19,L
79,4/5/19,L
81,4/5/19,L
83,4/5/19,L
91,4/5/19,L
98,4/5/19,L
101,4/5/19,L
109,4/5/19,L
115,4/5/19,L
118,4/5/19,L
119,4/5/19,L
120,4/5/19,L
124,4/5/19,L
126,4/5/19,L
141,4/5/19,L
151,4/5/19,L
158,4/5/19,L
163,4/5/19,L
164,4/5/19,L
166,4/5/19,L
168,4/5/19,L
171,4/5/19,L
176,4/5/19,L
179,4/5/19,L
192,4/5/19,L
204,4/5/19,L
219,4/5/19,L
224,4/5/19,L
226,4/5/19,L
227,4/5/19,L
230,4/5/19,L
253,4/5/19,L
254,4/5/19,L
266,4/5/19,L
278,4/5/19,L
279,4/5/19,L
280,4/5/19,L
283,4/5/19,L
288,4/5/19,L
299,4/5/19,L
303,4/5/19,L
307,4/5/19,L
316,4/5/19,L
324,4/5/19,L
325,4/5/19,L
328,4/5/19,L
332,4/5/19,L
335,4/5/19,L
336,4/5/19,L
341,4/5/19,L
344,4/5/19,L
347,4/5/19,L
362,4/5/19,L
366,4/5/19,L
368,4/5/19,L
369,4/5/19,L
375,4/5/19,L
377,4/5/19,L
382,4/5/19,L
387,4/5/19,L
389,4/5/19,L
391,4/5/19,L
398,4/5/19,L
402,4/5/19,L
404,4/5/19,L
412,4/5/19,L
417,4/5/19,L
422,4/5/19,L
427,4/5/19,L
429,4/5/19,L
434,4/5/19,L
435,4/5/19,L
440,4/5/19,L
445,4/5/19,L
446,4/5/19,L
447,4/5/19,L
453,4/5/19,L
456,4/5/19,L
462,4/5/19,L
463,4/5/19,L
465,4/5/19,L
469,4/5/19,L
470,4/5/19,L
472,4/5/19,L
479,4/5/19,L
483,4/5/19,L
484,4/5/19,L
485,4/5/19,L
498,4/5/19,L
503,4/5/19,L
504,4/5/19,L
509,4/5/19,L
518,4/5/19,L
520,4/5/19,L
522,4/5/19,L
527,4/5/19,L
528,4/5/19,L
530,4/5/19,L
546,4/5/19,L
557,4/5/19,L
586,4/5/19,L
592,4/5/19,L
598,4/5/19,L
600,4/5/19,L
601,4/5/19,L
629,4/5/19,L
631,4/5/19,L
634,4/5/19,L
639,4/5/19,L
640,4/5/19,L
644,4/5/19,L
651,4/5/19,L
656,4/5/19,L
659,4/5/19,L
664,4/5/19,L
668,4/5/19,L
670,4/5/19,L
672,4/5/19,L
674,4/5/19,L
676,4/5/19,L
678,4/5/19,L
680,4/5/19,L
684,4/5/19,L
686,4/5/19,L
698,4/5/19,L
701,4/5/19,L
702,4/5/19,L
707,4/5/19,L
709,4/5/19,L
712,4/4/19,L
714,4/4/19,L
717,4/4/19,L
718,4/4/19,L
719,4/4/19,L
725,4/4/19,L
738,4/4/19,L
740,4/4/19,L
743,4/4/19,L
745,4/4/19,L
746,4/4/19,L
748,4/4/19,L
749,4/4/19,L
752,4/4/19,L
753,4/4/19,L
754,4/4/19,L
755,4/4/19,L
768,4/4/19,L
770,4/4/19,L
771,4/4/19,L
772,4/4/19,L
774,4/4/19,L
780,4/4/19,L
782,4/4/19,L
786,4/4/19,L
789,4/4/19,L
790,4/4/19,L
793,4/4/19,L
799,4/4/19,L
803,4/4/19,L
804,4/4/19,L
807,4/4/19,L
810,4/4/19,L
813,4/4/19,L
817,4/4/19,L
821,4/4/19,L
827,4/4/19,L
828,4/4/19,L
829,4/4/19,L
838,4/4/19,L
839,4/4/19,L
841,4/4/19,L
845,4/4/19,L
851,4/4/19,L
859,4/4/19,L
860,4/4/19,L
862,4/4/19,L
863,4/4/19,L
865,4/4/19,L
872,4/4/19,L
878,4/4/19,L
880,4/4/19,L
